,origin,time_hour,tailnum,year,month,day,dep_time,sched_dep_time,dep_delay,arr_delay,carrier,flight,dest,air_time,distance,hour,minute,seats,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,week_day,wknd,evening_rush_hour,wind_sin,wind_cos,precip_indic
1,EWR,2013-07-01 5:00,N428UA,2013,7,1,600,559,1,-20,UA,597,BOS,40,200,5,59,200,75.02,71.06,87.5,140,4.60312,0,1013.3,10,Monday,FALSE,FALSE,2.958828502,-3.526194497,FALSE
5,EWR,2013-07-01 8:00,N76265,2013,7,1,900,800,60,121,UA,1199,BOS,40,200,8,0,149,78.08,71.96,81.5,140,6.90468,0,1013.7,10,Monday,FALSE,FALSE,4.438242753,-5.289291746,FALSE
6,EWR,2013-07-01 8:00,N265JB,2013,7,1,826,836,-10,-8,B6,2280,BOS,44,200,8,36,20,78.08,71.96,81.5,140,6.90468,0,1013.7,10,Monday,FALSE,FALSE,4.438242753,-5.289291746,FALSE
10,EWR,2013-07-01 12:00,N37298,2013,7,1,1223,1214,9,-2,UA,1037,BOS,41,200,12,14,149,78.08,73.04,84.53,150,3.45234,0,1015,10,Monday,FALSE,FALSE,1.72617,-2.989814143,FALSE
12,EWR,2013-07-01 15:00,N493UA,2013,7,1,1506,1500,6,0,UA,205,BOS,48,200,15,0,200,77,73.04,87.6,110,8.05546,0.01,1014.8,9,Monday,FALSE,FALSE,7.569656319,-2.755129584,TRUE
13,EWR,2013-07-01 16:00,N34282,2013,7,1,1740,1621,79,57,UA,1028,BOS,41,200,16,21,149,77,73.94,90.29,150,5.7539,0,1014.8,10,Monday,FALSE,FALSE,2.87695,-4.983023571,FALSE
16,EWR,2013-07-01 19:00,N76269,2013,7,1,2008,1924,44,26,UA,1703,BOS,42,200,19,24,149,77,73.04,87.6,160,8.05546,0,1016.1,10,Monday,FALSE,FALSE,2.755129584,-7.569656319,FALSE
17,EWR,2013-07-01 20:00,N354JB,2013,7,1,2142,2045,57,42,B6,2680,BOS,41,200,20,45,20,75.92,71.96,87.55,170,9.20624,0,1016.4,10,Monday,FALSE,FALSE,1.598646799,-9.066376528,FALSE
27,EWR,2013-07-02 14:00,N179JB,2013,7,2,1411,1400,11,-4,B6,2480,BOS,41,200,14,0,20,84.92,73.04,67.65,200,10.35702,0,1019.3,10,Tuesday,FALSE,FALSE,-3.542309465,-9.732415267,FALSE
28,EWR,2013-07-02 14:00,N815UA,2013,7,2,1523,1459,24,-1,UA,209,BOS,34,200,14,59,179,84.92,73.04,67.65,200,10.35702,0,1019.3,10,Tuesday,FALSE,FALSE,-3.542309465,-9.732415267,FALSE
29,EWR,2013-07-02 16:00,N822UA,2013,7,2,1706,1659,7,8,UA,634,BOS,37,200,16,59,179,84.02,71.06,65.13,200,12.65858,0,1019,10,Tuesday,FALSE,FALSE,-4.329489346,-11.89517422,FALSE
30,EWR,2013-07-02 17:00,N192JB,2013,7,2,1802,1730,32,19,B6,2580,BOS,37,200,17,30,20,82.94,71.06,67.44,200,10.35702,0,1019.3,10,Tuesday,FALSE,TRUE,-3.542309465,-9.732415267,FALSE
35,EWR,2013-07-03 6:00,N443UA,2013,7,3,629,623,6,-8,UA,230,BOS,42,200,6,23,200,73.94,71.06,90.73,230,8.05546,0,1023.5,10,Wednesday,FALSE,FALSE,-6.17084037,-5.177949878,FALSE
36,EWR,2013-07-03 6:00,N442UA,2013,7,3,931,659,152,134,UA,751,BOS,44,200,6,59,200,73.94,71.06,90.73,230,8.05546,0,1023.5,10,Wednesday,FALSE,FALSE,-6.17084037,-5.177949878,FALSE
37,EWR,2013-07-03 6:00,N368JB,2013,7,3,604,608,-4,-8,B6,2180,BOS,42,200,6,8,20,73.94,71.06,90.73,230,8.05546,0,1023.5,10,Wednesday,FALSE,FALSE,-6.17084037,-5.177949878,FALSE
38,EWR,2013-07-03 8:00,N849UA,2013,7,3,802,807,-5,-14,UA,740,BOS,39,200,8,7,179,77,71.06,81.92,220,3.45234,0,1024,10,Wednesday,FALSE,FALSE,-2.219121376,-2.644645873,FALSE
40,EWR,2013-07-03 10:00,N32404,2013,7,3,1132,1015,77,73,UA,1163,BOS,46,200,10,15,191,80.06,71.06,74.07,230,12.65858,0,1024.1,10,Wednesday,FALSE,FALSE,-9.697034867,-8.13677838,FALSE
41,EWR,2013-07-03 11:00,N374JB,2013,7,3,1117,1125,-8,-11,B6,2380,BOS,45,200,11,25,20,82.04,71.96,71.59,260,8.05546,0,1023.8,10,Wednesday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
42,EWR,2013-07-03 12:00,N76505,2013,7,3,1241,1237,4,-9,UA,1248,BOS,44,200,12,37,149,84.02,71.96,67.15,190,6.90468,0,1023.6,10,Wednesday,FALSE,FALSE,-1.198985099,-6.799782396,FALSE
45,EWR,2013-07-03 16:00,N819UA,2013,7,3,1653,1659,-6,16,UA,244,BOS,42,200,16,59,179,86,71.96,63.01,210,11.5078,0,1021.6,10,Wednesday,FALSE,FALSE,-5.7539,-9.966047142,FALSE
47,EWR,2013-07-03 17:00,N37298,2013,7,3,1745,1742,3,18,UA,1686,BOS,42,200,17,42,149,84.92,71.96,65.23,230,11.5078,0,1021.3,10,Wednesday,FALSE,TRUE,-8.815486243,-7.397071255,FALSE
48,EWR,2013-07-03 19:00,N15712,2013,7,3,1914,1906,8,15,UA,148,BOS,44,200,19,6,149,82.04,75.02,79.35,160,4.60312,0,1022.1,10,Wednesday,FALSE,FALSE,1.574359762,-4.325517897,FALSE
49,EWR,2013-07-03 20:00,N452UA,2013,7,3,2114,2059,15,-3,UA,994,BOS,44,200,20,59,200,80.06,75.02,84.64,190,3.45234,0,1022.3,10,Wednesday,FALSE,FALSE,-0.59949255,-3.399891198,FALSE
50,EWR,2013-07-03 20:00,N236JB,2013,7,3,2040,2045,-5,0,B6,2680,BOS,45,200,20,45,20,80.06,75.02,84.64,190,3.45234,0,1022.3,10,Wednesday,FALSE,FALSE,-0.59949255,-3.399891198,FALSE
51,EWR,2013-07-03 21:00,N38458,2013,7,3,2259,2149,70,61,UA,1451,BOS,43,200,21,49,191,80.06,75.02,84.64,180,3.45234,0,1022.9,10,Wednesday,FALSE,FALSE,4.23E-16,-3.45234,FALSE
55,EWR,2013-07-04 8:00,N206JB,2013,7,4,830,836,-6,-19,B6,2280,BOS,40,200,8,36,20,80.96,73.04,76.9,230,10.35702,0,1024.4,10,Thursday,FALSE,FALSE,-7.933937618,-6.657364129,FALSE
57,EWR,2013-07-04 11:00,N296JB,2013,7,4,1117,1125,-8,-15,B6,2380,BOS,45,200,11,25,20,86,73.04,65.35,200,12.65858,0,1023.7,10,Thursday,FALSE,FALSE,-4.329489346,-11.89517422,FALSE
59,EWR,2013-07-04 14:00,N498UA,2013,7,4,1527,1459,28,9,UA,209,BOS,39,200,14,59,200,89.06,71.06,55.46,210,12.65858,0,1022.4,10,Thursday,FALSE,FALSE,-6.32929,-10.96265186,FALSE
60,EWR,2013-07-04 14:00,N236JB,2013,7,4,1404,1400,4,-7,B6,2480,BOS,42,200,14,0,20,89.06,71.06,55.46,210,12.65858,0,1022.4,10,Thursday,FALSE,FALSE,-6.32929,-10.96265186,FALSE
62,EWR,2013-07-04 17:00,N820UA,2013,7,4,1747,1742,5,-18,UA,245,BOS,42,200,17,42,179,87.98,69.98,55.31,200,16.11092,0,1021,10,Thursday,FALSE,TRUE,-5.510259168,-15.13931264,FALSE
63,EWR,2013-07-04 19:00,N37471,2013,7,4,1911,1906,5,-13,UA,1142,BOS,45,200,19,6,191,86,69.98,58.91,210,11.5078,0,1021.3,10,Thursday,FALSE,FALSE,-5.7539,-9.966047142,FALSE
64,EWR,2013-07-04 20:00,N339JB,2013,7,4,2032,2045,-13,-27,B6,2680,BOS,43,200,20,45,20,84.92,69.08,59.14,200,12.65858,0,1021.6,10,Thursday,FALSE,FALSE,-4.329489346,-11.89517422,FALSE
65,EWR,2013-07-04 21:00,N847UA,2013,7,4,2057,2100,-3,-29,UA,994,BOS,42,200,21,0,179,82.04,71.06,69.43,210,12.65858,0,1022.1,10,Thursday,FALSE,FALSE,-6.32929,-10.96265186,FALSE
68,EWR,2013-07-05 8:00,N76265,2013,7,5,759,807,-8,-14,UA,1199,BOS,42,200,8,7,149,80.96,73.04,76.9,260,10.35702,0,1023.1,10,Friday,FALSE,FALSE,-10.19967359,-1.798477649,FALSE
69,EWR,2013-07-05 8:00,N206JB,2013,7,5,835,836,-1,-7,B6,2280,BOS,44,200,8,36,20,80.96,73.04,76.9,260,10.35702,0,1023.1,10,Friday,FALSE,FALSE,-10.19967359,-1.798477649,FALSE
70,EWR,2013-07-05 10:00,N37468,2013,7,5,1019,1015,4,-19,UA,1163,BOS,39,200,10,15,191,86,73.04,65.35,260,8.05546,0,1022.5,10,Friday,FALSE,FALSE,-7.933079462,-1.398815949,FALSE
71,EWR,2013-07-05 11:00,N316JB,2013,7,5,1117,1125,-8,-12,B6,2380,BOS,43,200,11,25,20,87.98,71.06,57.39,210,10.35702,0,1022.1,10,Friday,FALSE,FALSE,-5.17851,-8.969442428,FALSE
74,EWR,2013-07-05 14:00,N841UA,2013,7,5,1502,1459,3,-6,UA,436,BOS,41,200,14,59,179,91.04,73.04,55.72,190,5.7539,0,1020.6,10,Friday,FALSE,FALSE,-0.999154249,-5.66648533,FALSE
75,EWR,2013-07-05 17:00,N374JB,2013,7,5,1721,1730,-9,-12,B6,2580,BOS,45,200,17,30,20,89.96,69.98,51.96,210,14.96014,0,1018.9,10,Friday,FALSE,TRUE,-7.48007,-12.95586128,FALSE
76,EWR,2013-07-05 17:00,N73275,2013,7,5,1745,1742,3,-12,UA,1053,BOS,41,200,17,42,149,89.96,69.98,51.96,210,14.96014,0,1018.9,10,Friday,FALSE,TRUE,-7.48007,-12.95586128,FALSE
77,EWR,2013-07-05 19:00,N37420,2013,7,5,1919,1906,13,-8,UA,1116,BOS,41,200,19,6,191,87.98,68,51.68,220,14.96014,0,1018.8,10,Friday,FALSE,FALSE,-9.616192631,-11.46013212,FALSE
80,EWR,2013-07-06 6:00,N12922,2013,7,6,637,639,-2,-10,EV,4179,BOS,41,200,6,39,55,78.98,73.04,82.06,230,10.35702,0,1020.5,10,Saturday,TRUE,FALSE,-7.933937618,-6.657364129,FALSE
81,EWR,2013-07-06 8:00,N368JB,2013,7,6,828,830,-2,-11,B6,2280,BOS,41,200,8,30,20,84.02,73.94,71.78,240,9.20624,0,1020.6,10,Saturday,TRUE,FALSE,-7.972837713,-4.60312,FALSE
83,EWR,2013-07-06 11:00,N358JB,2013,7,6,1114,1125,-11,-20,B6,2380,BOS,39,200,11,25,20,91.04,69.98,50.23,240,11.5078,0,1019.5,10,Saturday,TRUE,FALSE,-9.966047142,-5.7539,FALSE
